data,meta_data
"{'badges': [{'label': 'Terrasse', 'value': 'TERRACE'}], 'exposeId': '6107c16fa909aa001b176a77', 'links': {'targetURL': '/expose/6107c16fa909aa001b176a77'}, 'priceKeyFacts': [{'value': '750 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '47 m²', 'label': 'Fläche'}]}","{'full_address': '1210 Wien', 'description': 'PROVISIONSFREIER ERSTBEZUG IN DER KOLONIESTRASSE', 'devproject_link': 'http://www.immobilienscout24.at/expose/610a44fe232f73001ee08601', 'contact': 'Vivienne Spicak', 'company': 'IMV Makler GmbH', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.2516191005706787, 'depth': 0}"
"{'badges': [{'label': 'Terrasse', 'value': 'TERRACE'}], 'exposeId': '6107c16f3e34a9001d4d1cad', 'links': {'targetURL': '/expose/6107c16f3e34a9001d4d1cad'}, 'priceKeyFacts': [{'value': '799 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '49 m²', 'label': 'Fläche'}]}","{'full_address': '1210 Wien', 'description': 'PROVISIONSFREIER ERSTBEZUG IN DER KOLONIESTRASSE', 'devproject_link': 'http://www.immobilienscout24.at/expose/610a44fe232f73001ee08601', 'contact': 'Vivienne Spicak', 'company': 'IMV Makler GmbH', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.2516191005706787, 'depth': 0}"
"{'badges': [{'label': 'Terrasse', 'value': 'TERRACE'}], 'exposeId': '6107c16fa909aa001b176a79', 'links': {'targetURL': '/expose/6107c16fa909aa001b176a79'}, 'priceKeyFacts': [{'value': '749 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '46 m²', 'label': 'Fläche'}]}","{'full_address': '1210 Wien', 'description': 'PROVISIONSFREIER ERSTBEZUG IN DER KOLONIESTRASSE', 'devproject_link': 'http://www.immobilienscout24.at/expose/610a44fe232f73001ee08601', 'contact': 'Vivienne Spicak', 'company': 'IMV Makler GmbH', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.2516191005706787, 'depth': 0}"
"{'badges': [{'label': 'Terrasse', 'value': 'TERRACE'}], 'exposeId': '6107c16fa909aa001b176a7b', 'links': {'targetURL': '/expose/6107c16fa909aa001b176a7b'}, 'priceKeyFacts': [{'value': '749 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '44 m²', 'label': 'Fläche'}]}","{'full_address': '1210 Wien', 'description': 'PROVISIONSFREIER ERSTBEZUG IN DER KOLONIESTRASSE', 'devproject_link': 'http://www.immobilienscout24.at/expose/610a44fe232f73001ee08601', 'contact': 'Vivienne Spicak', 'company': 'IMV Makler GmbH', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.2516191005706787, 'depth': 0}"
"{'badges': [{'label': 'Terrasse', 'value': 'TERRACE'}], 'exposeId': '6107c16fa909aa001b176a7d', 'links': {'targetURL': '/expose/6107c16fa909aa001b176a7d'}, 'priceKeyFacts': [{'value': '750 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '47 m²', 'label': 'Fläche'}]}","{'full_address': '1210 Wien', 'description': 'PROVISIONSFREIER ERSTBEZUG IN DER KOLONIESTRASSE', 'devproject_link': 'http://www.immobilienscout24.at/expose/610a44fe232f73001ee08601', 'contact': 'Vivienne Spicak', 'company': 'IMV Makler GmbH', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.2516191005706787, 'depth': 0}"
"{'badges': [{'label': 'Terrasse', 'value': 'TERRACE'}], 'exposeId': '61cdd7ad99a6ef002165f481', 'links': {'targetURL': '/expose/61cdd7ad99a6ef002165f481'}, 'priceKeyFacts': [{'value': '799,01 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '49 m²', 'label': 'Fläche'}]}","{'full_address': '1210 Wien', 'description': 'PROVISIONSFREIER ERSTBEZUG IN DER KOLONIESTRASSE', 'devproject_link': 'http://www.immobilienscout24.at/expose/610a44fe232f73001ee08601', 'contact': 'Vivienne Spicak', 'company': 'IMV Makler GmbH', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.2516191005706787, 'depth': 0}"
"{'badges': [{'label': 'Balkon', 'value': 'BALCONY'}, {'label': 'Terrasse', 'value': 'TERRACE'}, {'label': 'Parkplatz', 'value': 'PARKING_BASEMENT_GARAGE'}], 'exposeId': '631f3f4a8347fd8f98533614', 'links': {'targetURL': '/expose/631f3f4a8347fd8f98533614'}, 'priceKeyFacts': [{'value': '718,72 €', 'label': None}], 'mainKeyFacts': [{'value': '1', 'label': 'Zimmer'}, {'value': '40,49 m²', 'label': 'Fläche'}, {'value': '5', 'label': 'Etage'}]}","{'full_address': 'Leopoldauer Straße 70-72, 1210 Wien', 'description': '**SOMMERAKTION!** 1 Monat Mietfrei EXKLUSIVER ERSTBEZUG – VIELE EXTRAS ZUM WOHLFÜHLEN – FREIFLÄCHEN – INKLUSIVE KÜCHE - JETZT ANFRAGEN', 'devproject_link': 'http://www.immobilienscout24.at/expose/62f51ffd84c406f2f26c1b95', 'contact': 'Kevin Gödel', 'company': 'teamneunzehn-Gruppe', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.2580149173736572, 'depth': 0}"
"{'badges': [{'label': 'Terrasse', 'value': 'TERRACE'}, {'label': 'Parkplatz', 'value': 'PARKING_BASEMENT_GARAGE'}], 'exposeId': '6321e577fec70ba71dfa1f78', 'links': {'targetURL': '/expose/6321e577fec70ba71dfa1f78'}, 'priceKeyFacts': [{'value': '786,49 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '41,29 m²', 'label': 'Fläche'}, {'value': '5', 'label': 'Etage'}]}","{'full_address': 'Leopoldauer Straße 70-72, 1210 Wien', 'description': '**SOMMERAKTION!** 1 Monat Mietfrei EXKLUSIVER ERSTBEZUG – VIELE EXTRAS ZUM WOHLFÜHLEN – FREIFLÄCHEN – INKLUSIVE KÜCHE - JETZT ANFRAGEN', 'devproject_link': 'http://www.immobilienscout24.at/expose/62f51ffd84c406f2f26c1b95', 'contact': 'Kevin Gödel', 'company': 'teamneunzehn-Gruppe', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.2580149173736572, 'depth': 0}"
"{'badges': [{'label': 'Terrasse', 'value': 'TERRACE'}, {'label': 'Parkplatz', 'value': 'PARKING_BASEMENT_GARAGE'}], 'exposeId': '6321e577fec70ba71dfa1f75', 'links': {'targetURL': '/expose/6321e577fec70ba71dfa1f75'}, 'priceKeyFacts': [{'value': '751,95 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '39,49 m²', 'label': 'Fläche'}, {'value': '5', 'label': 'Etage'}]}","{'full_address': 'Leopoldauer Straße 70-72, 1210 Wien', 'description': '**SOMMERAKTION!** 1 Monat Mietfrei EXKLUSIVER ERSTBEZUG – VIELE EXTRAS ZUM WOHLFÜHLEN – FREIFLÄCHEN – INKLUSIVE KÜCHE - JETZT ANFRAGEN', 'devproject_link': 'http://www.immobilienscout24.at/expose/62f51ffd84c406f2f26c1b95', 'contact': 'Kevin Gödel', 'company': 'teamneunzehn-Gruppe', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.2580149173736572, 'depth': 0}"
"{'badges': [{'label': 'Terrasse', 'value': 'TERRACE'}, {'label': 'Parkplatz', 'value': 'PARKING_BASEMENT_GARAGE'}], 'exposeId': '6321e5778af7eaf4cb4dd1a3', 'links': {'targetURL': '/expose/6321e5778af7eaf4cb4dd1a3'}, 'priceKeyFacts': [{'value': '770,87 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '40,49 m²', 'label': 'Fläche'}, {'value': '5', 'label': 'Etage'}]}","{'full_address': 'Leopoldauer Straße 70-72, 1210 Wien', 'description': '**SOMMERAKTION!** 1 Monat Mietfrei EXKLUSIVER ERSTBEZUG – VIELE EXTRAS ZUM WOHLFÜHLEN – FREIFLÄCHEN – INKLUSIVE KÜCHE - JETZT ANFRAGEN', 'devproject_link': 'http://www.immobilienscout24.at/expose/62f51ffd84c406f2f26c1b95', 'contact': 'Kevin Gödel', 'company': 'teamneunzehn-Gruppe', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.2580149173736572, 'depth': 0}"
