full_address,description,rooms,area,price,labels,property_link,contact,company
"Baranygasse 7, 1220 Wien","BARANY &amp; ME, frei finanzierte Miete, Baranygasse 7,1220 Wien",3,"86,18 m²","1.578,37 €","NEW,BALCONY,REMOTE_VIEWING_AVAILABLE",http://www.immobilienscout24.at/expose/62d04f4e94594a1c476de129,Nicole Friedrich,private
"Wehlistraße 291, 1020 Wien",Marina Tower - LOW RISE Heller Erstbezug mit Balkon und Fernblick über die Donau - Provisionsfrei,3,"73,57 m²","1.938,39 €","NEW,BALCONY,REMOTE_VIEWING_AVAILABLE",http://www.immobilienscout24.at/expose/62d04f4d94594a1c476de0e9,Claudia Christoph,private
"Wehlistraße 291, 1020 Wien","MARINA TOWER - LOW RISE, heller Erstbezug mit Fernblick über die Donau - Provisionsfrei",3,"73,57 m²","1.965,21 €","NEW,BALCONY,REMOTE_VIEWING_AVAILABLE",http://www.immobilienscout24.at/expose/62d04f4e2c014b21717fa481,Claudia Christoph,private
"Wehlistraße 291, 1020 Wien","MARINA TOWER- LOW RISE, helle 4 Zimmer Maisonette-Wohnung mit Donaublick - Provisionsfrei",4,"96,27 m²","2.159,18 €","NEW,BALCONY,REMOTE_VIEWING_AVAILABLE",http://www.immobilienscout24.at/expose/62d04f4e94594a1c476de0f9,Claudia Christoph,private
"Wagramer Straße 56, 1220 Wien",*Single oder Pärchenhit an der Alten Donau* Ab sofort!*! - JETZT ZUSCHLAGEN,2,"62,48 m²","889,98 €","NEW,PARKING_BASEMENT_GARAGE",http://www.immobilienscout24.at/expose/631d8614b1931e11b66a2f6d,Pauline Socha,private
"Maria Grengggasse, 1230 Wien",Wohnen am Fuße des Rodauner Kirchenbergs,2,50 m²,690 €,"NEW,BALCONY",http://www.immobilienscout24.at/expose/631f65638347fd8f98541e93,Christian Steinhoff,private
"Scherbangasse 3, 1230 Wien",Wunderbare und geräumige 2-Zimmer Wohnung in top Lage mit eigenem Balkon und einer Gemeinschafts Dachterrasse zum genießen - Jetzt anfragen - JETZT ANFRAGEN,2,"59,27 m²","849,06 €","NEW,BALCONY,TERRACE,PARKING_BASEMENT_GARAGE",http://www.immobilienscout24.at/expose/63217bddb4e4214f56d14a66,Nikola Todorovic,private
1190 Wien,"RARITÄT AM SAARPLATZ MIT PARKBLICK | 70m² DACHGESCHOSSWOHNUNG | 2 GROSSE ZIMMER | WOHNKÜCHE | WG-EIGNUNG | GESAMTMIETE € 798 ,--",2,70 m²,798 €,NEW,http://www.immobilienscout24.at/expose/62f7d6475f884fe48dc8aeaa,GBL Immobilien,private
"Hütteldorfer Straße, 1150 Wien",Sanierte 2-Zimmer-Wohnung mit Terrasse / perfekte Infrastruktur in 1150 Wien,2,"62,79 m²","965,25 €","NEW,TERRACE,REMOTE_VIEWING_AVAILABLE,OLDBUILDING",http://www.immobilienscout24.at/expose/61fce226a01d5300211ac28e,Nicolas Büttner,private
"Mariengasse, 1170 Wien",WG-geeignet: Wunderschöne 3-Zimmer-Wohnung mit Süd-Loggia in Ruhelage,3,"87,19 m²","1.099,7 €","NEW,REMOTE_VIEWING_AVAILABLE",http://www.immobilienscout24.at/expose/631f6153f139d8046e101d16,Mag. Yasmin Szaraniec,private
"Oswaldgasse, 1120 Wien",ruhige 2-Zimmer-Wohnung mit Terrasse in den Innenhof - ab 01.September verfügbar,2,"48,87 m²",1.058 €,"NEW,TERRACE,REMOTE_VIEWING_AVAILABLE,PARKING_BASEMENT_GARAGE",http://www.immobilienscout24.at/expose/63089c7429786955249c6dff,Nina Schwarz,private
1160 Wien,Neubau - Balkon/Loggia - 2 Zimmer - U3 Kendlerstrasse (ab 01.08.2022),2,"50,8 m²","886,92 €","NEW,BALCONY",http://www.immobilienscout24.at/expose/62f617f25f884fe48dbec4a8,Alexander Jaksch,private
1080 Wien,"MITTEN IM 8. | SINGLE-ALTBAU-TRAUM 50m² | 1 1/2 ZIMMER | WOHNKÜCHE | GESAMTMIETE € 698,-- |",2,50 m²,698 €,NEW,http://www.immobilienscout24.at/expose/62e2c19e2576bdfae2b53d21,GBL Immobilien,private
"Stiegergasse 3, 1150 Wien","Gemütliche, möblierte 1 Zi Wohnung mit Anmeldung ",1,35 m²,850 €,"NEW,FURNISHED_FULL",http://www.immobilienscout24.at/expose/619bc561ab4eb600248a3f0d,Lea G,private
1030 Wien,Exklusive Altbauetage,8,300 m²,10.000 €,"NEW,REMOTE_VIEWING_AVAILABLE,PARKING_PARKING_SPACE,FURNISHED_FULL,OLDBUILDING",http://www.immobilienscout24.at/expose/631f5d928347fd8f9853ec11,Manuela Kiss,private
1230 Wien,2-Zimmer Erstbezugswohnung nahe Siebenhirten ab sofort unbefristet in 1230 Wien zu mieten ,2,50 m²,Preis auf Anfrage,"NEW,TERRACE",http://www.immobilienscout24.at/expose/632057f93f1e794b4fbdfb28,B.A. Vineta Reitgruber,private
1190 Wien,"360° TOUR // LUXURIOUS GARDEN APARTMENT in ""NUSSDORF""// LUXURIÖSES GARTENAPARTMENT am NUSSBERG/",6,315 m²,"7.120,94 €","NEW,GARDEN,BALCONY,TERRACE,PARKING_GARAGE",http://www.immobilienscout24.at/expose/6278e1aed8efbdb042f2ac00,Mag. Robin Kalandra,private
"AUHOFSTRAßE 134/Top 02, 1130 Wien / Hietzing","Worauf warten! Schnappen Sie sich ihr Wohnglück! 2 Zimmer mit GARTEN, ZWEITBEZUG",2,"48,44 m²","766,11 €","NEW,GARDEN,TERRACE",http://www.immobilienscout24.at/expose/631f58188347fd8f9853c902,Isabella MECKL,private
"Ziegelhofstraße 20-22, 1220 Wien",AKTION - PROVISIONSFREI! ERSTBEZUG IN BESTER LAGE BEIM HIRSCHSTETTNER BADETEICH! NEU AM MARKT! JETZT ANFRAGEN. - WOHNTRAUM,2,"46,01 m²","789,51 €","NEW,BALCONY,TERRACE,PARKING_BASEMENT_GARAGE",http://www.immobilienscout24.at/expose/631f0a768347fd8f9851feed,Paul Bichelhuber,private
1050 Wien,1050 Wien - 2-Zimmer-Wohnung mit Terrasse,2,"45,01 m²","899,3 €","NEW,TERRACE",http://www.immobilienscout24.at/expose/631f5387f139d8046e0fc87f,Martina Riva,private
"Erdbrustgasse, 1160 Wien",*Erstbezug* Renovierte 2-Zimmer-Wohnung mit Gemeinschaftsgarten in Grünruhelage!,2,"55,66 m²","749,28 €",NEW,http://www.immobilienscout24.at/expose/62e42318650be5586a73a21a,Helene Christiani,private
"1200 Wien,Brigittenau",**HERRLICHER AUSBLICK in traumhafter RUHELAGE** 2-Zimmer Wohnung zu vermieten! 1200 Wien,2,54 m²,"676,5 €",NEW,http://www.immobilienscout24.at/expose/631f53158347fd8f9853ac8d,Hartmut Lehner,private
1130 Wien,Grünblick genießen – 3 Zimmer Wohnung mit Balkon in bester Hietzinger Lage,3,105 m²,1.300 €,"NEW,BALCONY,REMOTE_VIEWING_AVAILABLE",http://www.immobilienscout24.at/expose/631f50c6f139d8046e0fba8f,Bernhard Posch,private
1120 Wien,"14688 Aßmayergasse, thermisch saniertes Haus!",1,30 m²,440 €,NEW,http://www.immobilienscout24.at/expose/631f5085f139d8046e0fb980,Ing. Alexander WASTL,private
1100 Wien,"10, Minibad und unbefristet !!",2,64 m²,"697,4 €","NEW,OLDBUILDING",http://www.immobilienscout24.at/expose/631f50468347fd8f98539f86,Veronika Masser,private
"Flachgasse 1, 1140 Wien",Gartenwohnung in 1140 Wien | 2 Zimmer mit voll ausgestatteter Küche | 50m2 Garten | Nahe Schloß Schönbrunn (FL1T10),2,38 m²,799 €,"NEW,GARDEN,PARKING_BASEMENT_GARAGE",http://www.immobilienscout24.at/expose/631f4fbdf139d8046e0fb5a2,Alexandra Trenz,private
"Hintere Zollamtsstraße 9, 1030 Wien",HELLE 2 ZIMMER WOHNUNG MIT MÖBLIERTE KÜCHE IN BEST LAGE - AB SOFORT VERFÜGBAR - NAHE LANDSTR. MITTE U3 / U4 - JETZT ANFRAGEN!,2,"51,25 m²","929,5 €",NEW,http://www.immobilienscout24.at/expose/631f0427f139d8046e0de6c9,Sercan Kilic,private
"Doningasse 12, 1220 Wien","Doningasse 12, 1220 Wien",2 – 2,"54,13 – 54,13 m²","from 799,94 €","NEW,DEVELOPER_LISTING,TERRACE",http://www.immobilienscout24.at/expose/631f4ceef139d8046e0fa8dc,Haring Immobilien Treuhand GmbH (Vermietung),private
"Goldschlagstraße, 1150 Wien,Rudolfsheim-Fünfhaus",Gemütliche 2 Zimmerwohnung in U-Bahnnähe,2,55 m²,"560,08 €","NEW,OLDBUILDING",http://www.immobilienscout24.at/expose/631f4c6b8347fd8f98538975,Rana Wintersteiner,private
"Geiselbergstraße 28, 1110 Wien",AKTION - 1 MONAT MIETZINSFREI - SOFORT BEZIEHBAR! WOHNGARTEN – DEINE GRÜNE OASE IN SIMMERING! MIT EINBAUKÜCHE! NÄHE U3 ENKPLATZ. - WOHNTRAUM,1 – 3,"43,25 – 66,09 m²",from 730 €,"NEW,DEVELOPER_LISTING,GARDEN,BALCONY,TERRACE",http://www.immobilienscout24.at/expose/631646741091c133bc68fbaa,Pauline Socha,private
"Flachgasse 1, 1140 Wien",Ruhige hofseitige 2-Zimmer-Wohnung | im 3.Liftstock | Praktische Aufteilung (FL1T32),2,37 m²,659 €,"NEW,PARKING_BASEMENT_GARAGE",http://www.immobilienscout24.at/expose/631f49278347fd8f98537b14,Alexandra Trenz,private
"Hintere Zollamtsstraße 9, 1030 Wien",TOLLE 2 ZIMMER WOHNUNG MIT KÜCHE - AB SOFORT VERFÜGBAR IN BEST LAGE - NAHE PRATER - U3/U4,2,"51,28 m²",930 €,NEW,http://www.immobilienscout24.at/expose/6321872a8af7eaf4cb4b2b45,Sercan Kilic,private
"Hintere Zollamtsstraße 9, 1030 Wien",TOLLE 2 ZIMMER WOHNUNG MIT KÜCHE - AB SOFORT VERFÜGBAR IN BEST LAGE - NAHE PRATER - U3/U4 - JETZT ANFRAGEN. - WOHNTRAUM,2,"51,47 m²","929,82 €",NEW,http://www.immobilienscout24.at/expose/63141d9d98bf6847252c792d,Lucas Carlsen,private
"Hintere Zollamtsstraße 9, 1030 Wien","SMARTES WOHNEN NÄHE STADT, PRATER UND STADTPARK. - WOHNTRAUM",2 – 2,"51,47 – 51,63 m²","from 929,51 €","NEW,DEVELOPER_LISTING",http://www.immobilienscout24.at/expose/63141d9d629616753bd41d53,Lucas Carlsen,private
"Hintere Zollamtsstraße 9, 1030 Wien","SMARTES WOHNEN NÄHE STADT, PRATER UND STADTPARK. - WOHNTRAUM",2 – 2,"51,25 – 51,28 m²","from 929,5 €","NEW,DEVELOPER_LISTING",http://www.immobilienscout24.at/expose/6316d63f1091c133bc6c4353,Sercan Kilic,private
1010 Wien,RUHIGE STADTWOHNUNG ZWISCHEN STEPHANSPLATZ UND SCHWEDENPLATZ,1,"33,2 m²","879,5 €","NEW,TERRACE",http://www.immobilienscout24.at/expose/631f650df139d8046e10365b,Alexandra Hartl,private
"Mollardgasse 73, 1060 Wien",2 Zimmerwohnung Nähe Mariahilf,2,"48,84 m²",895 €,NEW,http://www.immobilienscout24.at/expose/631f48328347fd8f9853752d,Andreas Minarik,private
"Serravagasse , 1140 Wien",Tolle DG Wohnung mit herrlichem Blick über Schloss Schönbrunn,3,99 m²,2.650 €,"NEW,BALCONY,TERRACE,FURNISHED_FULL",http://www.immobilienscout24.at/expose/631f47198347fd8f9853725d,Nadine Abouelenin,private
"1150 Wien 15.,Rh-Fh","+106M2-3,5 ZIMMER-DACHGESCHOSSMAISONETTEWOHNUNG PLUS 10M2 HOFSEITIGER TERRASSE NÄHE U3 HÜTTELDORFERSTRAßE, 1150 WIEN",3.5,106 m²,1.499 €,"NEW,TERRACE",http://www.immobilienscout24.at/expose/631f46d7f139d8046e0f8a8b,Elmar Zeisel,private
1050 Wien,"Appartement mit moderner Ausstattung im Fünften, mit bester Verkehrsanbindung",2,"50,43 m²",799 €,NEW,http://www.immobilienscout24.at/expose/625781af9266c359880143d7,Brunhilde Körbler,private
1160 Wien,"Erstbezug-Moderne Neubauwohnungen zur Miete, fußläufig zur U3 Ottakring",2 – 2,"47,21 – 47,6 m²",from 879 €,"NEW,DEVELOPER_LISTING,BALCONY",http://www.immobilienscout24.at/expose/625781b1bff87075f7eed03e,Brunhilde Körbler,private
1010 Wien,"Großzügige Altbauwohnung in der City mit Ausblick auf den Karlsplatz, U1",4,"143,06 m²","2.439,98 €","NEW,OLDBUILDING",http://www.immobilienscout24.at/expose/625781b09266c35988014421,Brunhilde Körbler,private
1160 Wien,"Erstbezug-Neubau-Appartement mit Balkon, fußläufig zur U3 Ottakring",2,"47,21 m²",935 €,"NEW,BALCONY",http://www.immobilienscout24.at/expose/625781b29266c3598801444d,Brunhilde Körbler,private
1160 Wien,"Erstbezug-Appartement mit Balkon, fußläufig zur U3 Ottakring",2,"47,6 m²",879 €,"NEW,BALCONY",http://www.immobilienscout24.at/expose/625781b1bff87075f7eed044,Brunhilde Körbler,private
1150 Wien,"PROVISIONSFREI - Helle Zweizimmerwohnung mit Balkon, zwischen Stadthalle und Schmelz",2,49 m²,575 €,"NEW,BALCONY,OLDBUILDING",http://www.immobilienscout24.at/expose/631f42908347fd8f9853571f,Vedrana Kocevar,private
1030 Wien,"ERSTBEZUG! Helle, unbefristete Hauptmietwohnung zw. Arenbergpark und Juchgasse gelegen!",2,"56,74 m²","692,21 €","NEW,REMOTE_VIEWING_AVAILABLE,OLDBUILDING",http://www.immobilienscout24.at/expose/631f40998347fd8f98533cc8,TRIMOND Immobilienmakler GesmbH,private
1090 Wien,Liechtensteinstrasse - Hoch oben und toll gelegen,2,"54,44 m²","741,04 €","NEW,OLDBUILDING",http://www.immobilienscout24.at/expose/631f40468347fd8f98533b4b,Otto Jahn,private
"1140 Wien / Wien 14., Penzing","gemütliche ""Einzimmerresidenz"" mit Blick in einen ruhigen Innenhof",1,"41,55 m²",680 €,"NEW,FURNISHED_PART",http://www.immobilienscout24.at/expose/631f3c8a8347fd8f985321c3,Christoph Schillinger,private
1230 Wien,HEUREKA! DIE PERFEKTE WOHNUNG ZU EBENER ERD'!,3,76 m²,"1.389,32 €","NEW,TERRACE",http://www.immobilienscout24.at/expose/62d0212f94594a1c476cd52d,Mag. Michael Moser,private
1010 Wien,2 room apartment (living room + one bed room) ***** next to the Vienna Opera / City Centre *****,2,62 m²,1.398 €,"NEW,REMOTE_VIEWING_AVAILABLE",http://www.immobilienscout24.at/expose/630e6440ffa5383b30cfed7c,Radisa Paunovic,private
1220 Wien,Moderne 3-Zimmerwohnung mit Terrasse! DC-Living!,3,"82,88 m²","1.754,54 €","NEW,TERRACE,PARKING_PARKING_DECK",http://www.immobilienscout24.at/expose/631f3adaf139d8046e0f323b,Mag. Mariya Stazic,private
1180 Wien,CHARMANTE DACHGESCHOSSWOHNUNG IM GRÜNEN,2,46 m²,"991,62 €","NEW,BALCONY",http://www.immobilienscout24.at/expose/631f3ad1f139d8046e0f320f,Dr. Marie-Therese Gabriel,private
1020 Wien,ERSTBEZUG! Super Familienwohnung direkt bei der Donau / Höhe Reichsbrücke gelegen!,4,"90,12 m²","1.099,12 €","NEW,REMOTE_VIEWING_AVAILABLE,OLDBUILDING",http://www.immobilienscout24.at/expose/631f37c1f139d8046e0f1f16,TRIMOND Immobilienmakler GesmbH,private
1190 Wien,360° TOUR // TERRASSENWOHNUNG mit FERNBLICK // ATTIC APARTMENT with DISTANT VIEWS,4,138 m²,2.900 €,"NEW,TERRACE,PARKING_GARAGE",http://www.immobilienscout24.at/expose/62c47071780e0f9d322d6e4f,Oliver Kalandra,private
"1150 Wien,Rudolfsheim-Fünfhaus",Unbefristet! Tolle 2 Zimmer Altbauwohnung - Nähe U3 Johnstraße,2,"63,25 m²","601,47 €","NEW,REMOTE_VIEWING_AVAILABLE",http://www.immobilienscout24.at/expose/631f34678347fd8f9852e70e,Tanja Frey,private
1100 Wien,GARTENWOHNUNG I 3 Zimmer I Garage | Ruhelage | ERHOLUNGSGEBIET WIENERBERG,3,98 m²,1.990 €,"NEW,GARDEN,TERRACE,PARKING_GARAGE",http://www.immobilienscout24.at/expose/62f7a6905f884fe48dc7a257,Oliver Badura,private
"Kremsergasse 19, 1130 Wien",Sehr helle zentral begehbare 3 Zimmer Wohnung mit Balkon. U4 Nähe! Auch WG geeignet!,3,89 m²,"1.079,69 €","NEW,BALCONY,PARKING_GARAGE",http://www.immobilienscout24.at/expose/631f338c8347fd8f9852d796,Silvia M. Hufnagl,private
1070 Wien,URBANES WOHNEN mit schöner GARTENTERRASSE - barrierefrei,2,56 m²,949 €,"NEW,TERRACE",http://www.immobilienscout24.at/expose/631f3309f139d8046e0eeebb,Conzeptio Conzeptio,private
"Pohlgasse, 1120 Wien",/ VERFÜGBAR AB JANUAR 2023 / ZWEI-ZIMMER / TOLLE ANBINDUNG / GUT AUFGETEILT,2,"47,57 m²",750 €,NEW,http://www.immobilienscout24.at/expose/63219d3d8af7eaf4cb4c08d5,Linda Schmidtberger,private
"Pohlgasse, 1120 Wien",/ MODERNE ANLAGE/ VERFÜGBAR AB 1.01.2023 / MIT BESTER ANBINDUNG / ZWEI ZIMMER,2,"47,57 m²",750 €,NEW,http://www.immobilienscout24.at/expose/63219d3d8af7eaf4cb4c08c9,Linda Schmidtberger,private
"KOPPSTRAßE 49/Top 9-11, 1160 Wien","3 Zimmer - EINBAUKÜCHE - um NUR € 825,00 inkl. BK und Mwst",3,"76,6 m²","825,38 €",NEW,http://www.immobilienscout24.at/expose/62bb24680b739af7872b8c0d,Isabella MECKL,private
1210 Wien,93m² Wohnung + 36 m² Terrasse ,3,93 m²,1.450 €,"NEW,TERRACE,PARKING_GARAGE",http://www.immobilienscout24.at/expose/631f30b08347fd8f9852bf39,Stephan Karas,private
"Zieglergasse, 1070 Wien",AB DEZEMBER beziehbar: 2 Zimmer Neubauwohnung in beliebter Lage (Zieglergasse 50) !,2,"47,29 m²",920 €,"NEW,REMOTE_VIEWING_AVAILABLE,PARKING_BASEMENT_GARAGE",http://www.immobilienscout24.at/expose/631f30798347fd8f9852be96,Kenan Bilgili,private
1160 Wien,Erstbezug: 2-Zimmer-Wohnung mit Balkon in Niedrigenergiehaus – in 1160 Wien zu mieten,2,"51,18 m²","848,99 €","NEW,BALCONY,TERRACE",http://www.immobilienscout24.at/expose/631f30158347fd8f9852b925,Elena Pfurtscheller,private
1160 Wien,Erstbezug in Niedrigengergiehaus: 2-Zimmer-Wohnung mit Balkon– in 1160 Wien zu mieten ,2,"43,31 m²","779,99 €","NEW,BALCONY,TERRACE",http://www.immobilienscout24.at/expose/631f3015f139d8046e0ed2f8,Elena Pfurtscheller,private
1160 Wien,Wunderbare 2-Zimmer-Wohnung mit Balkon und Terrasse - zu mieten in 1160 Wien,2,"55,5 m²","998,98 €","NEW,BALCONY,TERRACE",http://www.immobilienscout24.at/expose/631f3014f139d8046e0ed2dc,Elena Pfurtscheller,private
1160 Wien,Traumhafte 3-Zimmer-Wohnung mit Terrasse in Niedrigenergiehaus - zu mieten in 1160 Wien,3,"63,96 m²","1.075,11 €","NEW,TERRACE",http://www.immobilienscout24.at/expose/631f30158347fd8f9852b916,Elena Pfurtscheller,private
1160 Wien,Traumhafte 3-Zimmer-Wohnung mit Balkon und Bulthaup-Küche - zu mieten in 1160 Wien,3,"60,75 m²","1.074,99 €","NEW,BALCONY,TERRACE",http://www.immobilienscout24.at/expose/631f3014f139d8046e0ed2e5,Elena Pfurtscheller,private
1160 Wien,Niedrigenergiehaus in Ottakring: Wunderschöne 3-Zimmer-Wohnung mit Balkon - in 1160 Wien zu mieten ,3,"61,55 m²","1.109,99 €","NEW,BALCONY,TERRACE",http://www.immobilienscout24.at/expose/631f30148347fd8f9852b910,Elena Pfurtscheller,private
1160 Wien,Energiesparend Wohnen in Ottakring - Erstbezug: 2-Zimmer-Wohnung - zu mieten in 1160 Wien ,2,"41,21 m²","748,98 €","NEW,TERRACE",http://www.immobilienscout24.at/expose/631f3014f139d8046e0ed2e2,Elena Pfurtscheller,private
1160 Wien,Energiesparend Wohnen in Ottakring - 3-Zimmer-Terrassen-Wohnung - zu mieten in 1160 Wien,3,"63,03 m²","1.073,06 €","NEW,TERRACE",http://www.immobilienscout24.at/expose/631f3014f139d8046e0ed2df,Elena Pfurtscheller,private
1160 Wien,Schöne 2-Zimmer-Wohnung mit Balkon – zu mieten in 1160 Wien / Ottakring,2,"43,3 m²","798,97 €","NEW,BALCONY,TERRACE",http://www.immobilienscout24.at/expose/631f30148347fd8f9852b908,Elena Pfurtscheller,private
1160 Wien,Traumhafte 2-Zimmer-Wohnung mit Balkon und Terrasse - zu mieten in 1160 Wien,2,"47,12 m²","898,98 €","NEW,BALCONY,TERRACE",http://www.immobilienscout24.at/expose/631f30148347fd8f9852b905,Elena Pfurtscheller,private
1160 Wien,Wunderbare 3-Zimmer-Wohnung mit Loggia / Balkon - zu mieten in 1160 Wien / Ottakring,3,"65,11 m²","1.104,98 €","NEW,BALCONY,TERRACE",http://www.immobilienscout24.at/expose/631f3014f139d8046e0ed2d6,Elena Pfurtscheller,private
1070 Wien,Fully furnished apartment in courtyard location!,2,44 m²,800 €,"NEW,FURNISHED_FULL",http://www.immobilienscout24.at/expose/62ff5aadd0298a4c6cd09cb1,Mag. Christian Gölles,private
1070 Wien,"Ruhige, sehr gut möblierte Wohnung!",2,44 m²,800 €,"NEW,FURNISHED_FULL",http://www.immobilienscout24.at/expose/62ff5aadafc47442d6bd50d6,Mag. Christian Gölles,private
1070 Wien,Fully furnished apartment in courtyard location!,2,44 m²,800 €,"NEW,FURNISHED_FULL",http://www.immobilienscout24.at/expose/63120ec6629616753bc96c32,Mag. Christian Gölles,private
1070 Wien,"Ruhige, sehr gut möblierte Wohnung!",2,44 m²,800 €,"NEW,FURNISHED_FULL",http://www.immobilienscout24.at/expose/63120ec6629616753bc96c2f,Mag. Christian Gölles,private
"Aspangstraße, 1030 Wien",Freundliche südlich-ausgerichtete Dachgeschosswohnung mit Terrasse,2,"44,65 m²",795 €,"NEW,TERRACE",http://www.immobilienscout24.at/expose/631f2e06f139d8046e0eb049,Philipp Pfeiffer,private
"Rembrandtstraße, 1020 Wien","AUGARTEN-NÄHE, gepflegte 85 m² Altbau, 2 Zimmer, Wohnküche, Duschbad, Parketten, 4. Liftstock, WG-geeignet, Rembrandtstraße",3,"85,1 m²","1.107,48 €","NEW,OLDBUILDING",http://www.immobilienscout24.at/expose/61d4bb0da47b7000240469c6,Alexander Ros,private
"Krottenbachstraße 99, 1190 Wien","Neu renovierte, helle 2-Zimmer Wohnung",2,"67,9 m²","1.057,82 €","NEW,OLDBUILDING",http://www.immobilienscout24.at/expose/63037d2d2d67f84cd0c92dfe,Xaver Hopfgartner,private
1150 Wien,2-Zimmer Wohnung im 15. Bezirk,2,"50,6 m²",849 €,"NEW,OLDBUILDING",http://www.immobilienscout24.at/expose/62d69c1eb0e84d8c33030ffc,Ioanna Tsokas,private
"Rechte Wienzeile, 1120 Wien",Top 2 Zimmer Wohnung mit optimaler Verkehrsanbindung,2,"50,59 m²",795 €,"NEW,BALCONY",http://www.immobilienscout24.at/expose/631f2939f139d8046e0e9af0,Mag. Manuel Moharitsch,private
1180 Wien,"provisionsfreie, vollmöblierte Wohnung neben Währingerpark",2,"52,5 m²",800 €,"NEW,FURNISHED_FULL,OLDBUILDING",http://www.immobilienscout24.at/expose/631f29318347fd8f98528112,,private
1160 Wien,Helle Wohnung mit Balkon und Garagenparkplatz. Heizung/Warmwasser Inkl.,4,103 m²,2.150 €,"NEW,BALCONY,PARKING_GARAGE",http://www.immobilienscout24.at/expose/631f28c2f139d8046e0e9976,Kulev,private
1140 Wien,NEU! ++ Hochwertige Loggia-Neubauwohnung - Top Grundriss in Toplage – Miete in 1140 Wien++,2,"40,92 m²",791 €,"NEW,REMOTE_VIEWING_AVAILABLE",http://www.immobilienscout24.at/expose/631e015bb1931e11b66c52f8,"Mag. Katja Gerstl, BA MRICS",private
1230 Wien,Erstbezug mit südseitigem Fernblick (U6/Badner Bahn Nähe),1,30 m²,650 €,"NEW,BALCONY",http://www.immobilienscout24.at/expose/631f25668347fd8f98527577,Mag. Mario Rauch,private
1110 Wien,Aktion: 1 Monat MIETFREI &amp; PROVISIONSFREI | Ruhige 2-Zimmer-Wohnung mit Balkon | ab sofort bezugsfertig,2,"48,78 m²","780,31 €","NEW,BALCONY,FURNISHED_PART",http://www.immobilienscout24.at/expose/6321a9a5fec70ba71df8a785,Janine Baron,private
1110 Wien,AKTION: 1 Monat MIETZINSFREI | PROVISIONSFREI | Ihre neue Familienwohnung im Wohngarten,3,"69,11 m²","1.125,86 €","NEW,BALCONY,FURNISHED_PART",http://www.immobilienscout24.at/expose/631f23358347fd8f9852709d,Janine Baron,private
1110 Wien,AKTION: 1 Monat MIETFREI: Provisionsfrei &amp; 10 Jahre Befristung: Einzigartige 2-Zimmer-Wohnung | ab sofort bezugsfertig,2,"48,28 m²","797,84 €","NEW,BALCONY,FURNISHED_PART",http://www.immobilienscout24.at/expose/6321a91bfec70ba71df8a37a,Pia Schelling,private
"Stammersdorfer Straße, 1210 Wien",Provisionsfrei - Entzückte Wohnung perfekt für Familien mit 2 Terrassen,3,"77,58 m²",1.099 €,"NEW,TERRACE,REMOTE_VIEWING_AVAILABLE,PARKING_BASEMENT_GARAGE",http://www.immobilienscout24.at/expose/6321b713fec70ba71df903d1,Benedikt Wawra,private
1180 Wien,NETTE GARTENWOHNUNG,2,"44,6 m²","950,01 €","NEW,GARDEN,TERRACE,PARKING_GARAGE",http://www.immobilienscout24.at/expose/631f22ab8347fd8f98526d81,Noemi Kristof,private
1060 Wien,Sehr helle Dachgeschoss Maisonette-Wohnung in top Lage nahe Mariahilferstraße - klimatisiert,3,"66,9 m²","1.171,28 €","NEW,OLDBUILDING",http://www.immobilienscout24.at/expose/631f22998347fd8f98526c95,Manuel von Stein,private
1110 Wien,AKTION: 1 Monat MIETZINSFREI | PROVISIONSFREI | Wohnen im Wohngarten | Gartenwohnung | ERSTBEZUG,2,"48,86 m²","902,22 €","NEW,GARDEN,TERRACE,FURNISHED_PART",http://www.immobilienscout24.at/expose/6321a91b8af7eaf4cb4c56d7,Maria Kollitsch,private
"Zelda-Kaplan-Weg, 1100 Wien",Top 2 Zimmer Wohnung am Erholungsgebiet Wienerberg,2,"53,19 m²",899 €,"NEW,BALCONY",http://www.immobilienscout24.at/expose/631f223d8347fd8f9852666d,Andreas Minarik,private
1020 Wien,2 Zimmer nahe WU,2,56 m²,"720,5 €",NEW,http://www.immobilienscout24.at/expose/631f222e8347fd8f9852663a,Barbara Wonisch,private
"Schulgasse, 1180 Wien","ERSTBEZUG - Ruhige und helle 2,5-Zimmer Maisonette Wohnung mit Wohnküche, Klimaanlage und Kellerabteil - UNBEFRISTET",2.5,"50,63 m²","986,89 €","NEW,OLDBUILDING",http://www.immobilienscout24.at/expose/62e0554f4bae955e43ec32fd,Nathalie Ghraizi,private
1110 Wien,AKTION: 1 Monat MIETZINSFREI | PROVISIONSFREI | Erstklassige 2 Zimmerwohnung mit Balkon | Erstbezug,2,63 m²,"956,15 €","NEW,BALCONY,FURNISHED_PART",http://www.immobilienscout24.at/expose/63208441015cb8ee2a78cf48,Janine Baron,private
1110 Wien,AKTION: 1 MONATE MIETZINSFREI | PROVISIONSFREI | 2-Zimmer-Wohnung mit Balkon | ab sofort bezugsfertig,2,47 m²,"770,91 €","NEW,BALCONY,FURNISHED_PART",http://www.immobilienscout24.at/expose/63208440015cb8ee2a78cf45,Janine Baron,private
