full_address,description,rooms,area,price,labels,property_link,contact,company
"Kagraner Platz 26, 1220 Wien","Kagraner Platz 26 / Am Langen Felde 46-50, 1220 Wien",2 – 2,"43,58 – 45,78 m²",from 749 €,"DEVELOPER_LISTING,GARDEN,BALCONY,TERRACE",http://www.immobilienscout24.at/expose/62d7bd203dbae5ba4eb00d69,Haring Immobilien Treuhand GmbH (Vermietung),private
"Erzherzog-Karl-Straße 107, 1220 Wien","Erzherzog-Karl-Straße 107/Polgarstraße 20, 1220 Wien",2 – 3,"42,16 – 61,01 m²","from 669,99 €","DEVELOPER_LISTING,BALCONY,TERRACE",http://www.immobilienscout24.at/expose/62d10cc394594a1c47719c5a,Haring Immobilien Treuhand GmbH (Vermietung),private
"Jörgerstraße 4-8, 1180 Wien",STADTLICHT 18,2 – 3,"49,87 – 69,86 m²","from 859,08 €","DEVELOPER_LISTING,BALCONY,TERRACE",http://www.immobilienscout24.at/expose/624ab99c2150009430a15251,Mag. Alexander Temmer,private
"Leopoldauer Platz 9-11, 1210 Wien",HOF-ENSEMBLE – Ideale Balance zwischen Stadt und ländlichem Charme,3,"62,75 m²",1.070 €,TERRACE,http://www.immobilienscout24.at/expose/62e29a9bf76c162cd5610f1d,Aaron Fodor,private
"Favoritenstraße, 1040 Wien",Gut angebundene 2-Zimmer-Wohnung in Wieden,2,"52,71 m²",825 €,,http://www.immobilienscout24.at/expose/621ca3b7a8c43700225c3e34,Miriam Ratzberger,private
"1010 Wien,Innere Stadt",Exklusive Luxuswohnung in innerstädtischer Ruhelage!,4,"138,11 m²","2.956,48 €","BALCONY,OLDBUILDING",http://www.immobilienscout24.at/expose/6314d12498bf6847252edf43,Edith Stern,private
"Reisnerstraße, 1030 Wien",Gut aufgeteilte 2-Zimmer Wohnung in 1030 zu vermieten,2,"56,44 m²","1.154,94 €",REMOTE_VIEWING_AVAILABLE,http://www.immobilienscout24.at/expose/62da467e7b6f2bddb4c5fffb,Nicolas Büttner,private
"Karl-Popper-Straße, 1100 Wien",THE METROPOLITAN - PROVISIONSFREI FÜR DEN MIETER - Modern Living im belebten Sonnwendviertel! ++ ERSTBEZUG ++,1,"37,38 m²",750 €,"BALCONY,TERRACE",http://www.immobilienscout24.at/expose/61f3a7b66e9db30023514473,Egon-Adrian Toth,private
"Julius Payer Gasse, 1220 Wien",Umgeben von Grün! Top Neubauwohnung mit sonnigem Balkon und Badezugang zum Kaiserwasser,3,82 m²,"1.611,54 €",BALCONY,http://www.immobilienscout24.at/expose/62f12066a03a59c017299502,Sabine Nanni,private
"Arsenal, 1030 Wien",Wohnkomfort in Grünruhelage nahe dem Hauptbahnhof,3,"112,59 m²",1.690 €,OLDBUILDING,http://www.immobilienscout24.at/expose/62f3a41b4b704118ec5b6292,Josef Michelfeit,private
1180 Wien,Exklusiver 56m² Neubau + 24m² Terrasse und Balkon in Cottagelage - 1180 Wien,2,"55,6 m²","1.099,99 €","BALCONY,TERRACE",http://www.immobilienscout24.at/expose/630f22b557aab18d6752e0c0,Anna Sitarz,private
"Oswaldgasse, 1120 Wien",FREUDE AM WOHNEN: Top 2 Zimmerwohnung mit Loggia in ruhiger Lage,2,"47,26 m²",810 €,,http://www.immobilienscout24.at/expose/61f7b93125c5c1001ee83bd7,Egon-Adrian Toth,private
"Wiesenthalgasse 4A, 1100 Wien",Wohnjuwel am Laaerberg,3,73 m²,"1.702,59 €","GARDEN,BALCONY,TERRACE,PARKING_PARKING_SPACE,FURNISHED_FULL",http://www.immobilienscout24.at/expose/62f60bc25f884fe48dbe754a,Michael Rauhofer,private
1150 Wien,Moderne 3-Zimmer Wohnung in 1150 Wien zu vermieten,3,"85,22 m²","1.239,84 €","REMOTE_VIEWING_AVAILABLE,OLDBUILDING",http://www.immobilienscout24.at/expose/62e276e42576bdfae2b30927,Konstantin Wiesflecker,private
1110 Wien,Erstbezug: Klimatisierte 63m² DG-Wohnung Nähe U3 - 1110 Wien,2,"63,08 m²",759 €,OLDBUILDING,http://www.immobilienscout24.at/expose/630f29ff57aab18d6753137e,Anna Sitarz,private
1160 Wien,Dachterrassentraum in Ottakring 2-Zimmer ERSTBEZUG klimatisiert - Mittendrin 1160,2,"54,46 m²","1.225,63 €","BALCONY,TERRACE,PARKING_GARAGE",http://www.immobilienscout24.at/expose/628e4c1ace36a19eca9a145a,Frau Elisabeth Papsch & Frau Mag. Theresa Rojko,private
"Aspernstrasse 70, 1220 Wien","Sonnige, 2-Zimmer-Wohnung mit Terrasse - unbefristet - U2 Nähe - provisionsfrei in 1220 Wien zu mieten",2,"48,02 m²","895,06 €","TERRACE,REMOTE_VIEWING_AVAILABLE,PARKING_BASEMENT_GARAGE",http://www.immobilienscout24.at/expose/62f7a3005f884fe48dc78530,B Dancs,private
1210 Wien,RAUS ins GRÜNE: LEOPOLD XXI – Erstklassige Mietwohnungen in beliebter Lage des 21. Bezirks,2,"54,5 m²","970,08 €","BALCONY,TERRACE",http://www.immobilienscout24.at/expose/630ded6d9cdd4cf4a96aa0b8,Nina Milchrahm,private
1200 Wien,UNBEFRISTETE DG-Wohnung in U6 und S-Bahn-Nähe! Gemeinschaftsterrasse!,2,63 m²,849 €,TERRACE,http://www.immobilienscout24.at/expose/62ca974feac5f1a9627bb193,Kerstin Fried,private
1080 Wien,Stylische Dachgeschosswohnung mit Terrasse in zentraler Lage,6,260 m²,"3.987,81 €",TERRACE,http://www.immobilienscout24.at/expose/62d5151c3767477e9d67512c,Frau Elisabeth Papsch & Herr Pascal Lichtl,private
"Geiselbergstraße, 1110 Wien",ERSTER MONAT MIETZINSFREI - Provisionsfrei für den Mieter – AUFFLEBEN IM WOHNGARTEN,1,"93,82 m²",1.400 €,,http://www.immobilienscout24.at/expose/61683d2c0244d000253bf0d9,Andreas Minarik,private
"Geiselbergstraße, 1110 Wien",ERSTER MONAT MIETZINSFREI - WOHNGARTEN - ERSTBEZUG - PROVISIONSFREI FÜR DEN MIETER,2,"48,29 m²","798,55 €",BALCONY,http://www.immobilienscout24.at/expose/61e7c631483b18002303121b,Philipp Pfeiffer,private
"Erdberger Lände ""Adl"" 38, 1030 Wien",WASSER. WIESE. WIEN - 2 Zimmer Wohnungshit,2,"46,55 m²",830 €,,http://www.immobilienscout24.at/expose/62a71497befc158e3ed64372,Josef Michelfeit,private
"Spallartgasse 21, 1140 Wien",Attraktive 2-Zimmer-Wohnung nähe U3 – ERSTBEZUG,2,"43,2 m²",719 €,"GARDEN,BALCONY,FURNISHED_PART",http://www.immobilienscout24.at/expose/62d56674cc1d4d18e4ff496b,Andreas Wetzer,private
1100 Wien,WOHNEN IM SONNWENDVIERTEL - zentral begehbare 2-Zimmer-Wohnung in Top-Lage - 56 m² - Balkon,2,"56,43 m²",859 €,"BALCONY,PARKING_PARKING_DECK",http://www.immobilienscout24.at/expose/6315afbd629616753bdaf55f,Lukas Schwaiger,private
"Spallartgasse 9, 1140 Wien",Traumhafte 3-Zimmer-Wohnung | großzügige Aufteilung | mit Loggia | Nähe U3 Hütteldorfer Straße,2,"69,41 m²",967 €,"GARDEN,BALCONY",http://www.immobilienscout24.at/expose/62f11d94a03a59c017298a9d,Sandra Klement,private
1010 Wien,geräumige DG-Wohnung in exklusiver Lage,7,388 m²,"22.896,5 €","TERRACE,REMOTE_VIEWING_AVAILABLE",http://www.immobilienscout24.at/expose/62b016951e6e3365a171ac32,Ernst KAROLY,private
"Kärntner Ring, 1010 Wien",Exklusive 5-Zimmer Wohnung mit Dachterasse im 1.Bezirk zu vermieten,5,"216,17 m²","4.547,42 €","TERRACE,REMOTE_VIEWING_AVAILABLE,OLDBUILDING",http://www.immobilienscout24.at/expose/630e09a46650ea9b437907cd,Vanessa Hassler,private
"Lorenz-Mandl-Gasse, 1160 Wien",Attraktive 2-Zimmer-Wohnung - ideal für Studenten,2,"43,3 m²",780 €,"BALCONY,TERRACE",http://www.immobilienscout24.at/expose/6308b57f4351c4630fa3e310,Miriam Ratzberger,private
"Geiselbergstraße, 1110 Wien",ERSTER MONAT MIETZINSFREI - Traumhafte Erstbezugswohnung - PROVISIONSFREI FÜR DEN MIETER,1,"45,44 m²",730 €,,http://www.immobilienscout24.at/expose/61fa3f7525c5c1001ef6292e,Philipp Pfeiffer,private
"Leopoldauer Platz 9-11, 1210 Wien",Leopold XXI – 3-Zimmer Terrassentraum mit Wohlfühlcharakter,3,"81,35 m²","1.346,02 €",TERRACE,http://www.immobilienscout24.at/expose/629f33de8ee9a08163d963e6,Aaron Fodor,private
"Geiselbergstraße, 1110 Wien",ERSTER MONAT MIETZINSFREI - PROVISIONSFREI FÜR DEN MIETER- EINZIEHEN UND AUFLEBEN IM WOHNGARTEN - Schöne 2 Zimmerwohnung im 1. OG,3,"69,91 m²",1.045 €,,http://www.immobilienscout24.at/expose/62cec2cb59e43517c439a38c,Philipp Pfeiffer,private
"Leonard-Bernstein-Straße 8, 1220 Wien",Wohnung neben UNO City mit tollem Ausblick und Klimaanlage,2,49 m²,1.036 €,"BALCONY,REMOTE_VIEWING_AVAILABLE,PARKING_BASEMENT_GARAGE,FURNISHED_FULL",http://www.immobilienscout24.at/expose/62d96cd70f445340b15f2dc7,Christian Fernau,private
